seed,offset,ibd_f1,cusum_f1,delta,ibd_positive_fraction,cusum_positive_fraction,ibd_conf_false,cusum_conf_false
5052,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.19399600186476312,0.28322261202756555
5052,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.18082507067739662,0.28322261202756555
5052,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.19563028005348315,0.28322261202756555
5053,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5053,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.20092785710771732,0.28322261202756555
5053,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.18082507067739662,0.28322261202756555
5054,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5054,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5054,1000,0.4,0.0,0.4,0.08333333333333333,0.0,0.19236172367604312,0.28322261202756555
5055,200,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5055,500,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5055,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.18082507067739662,0.28322261202756555
5056,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5056,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5056,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5057,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5057,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5057,1000,0.25,0.0,0.25,0.20833333333333334,0.0,0.5365257528848859,0.28322261202756555
5058,200,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5058,500,0.0,0.0,0.0,0.0,0.0,0.18822767536543988,0.28322261202756555
5058,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5059,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.19236172367604312,0.28322261202756555
5059,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5059,1000,0.0,0.0,0.0,0.0,0.0,0.19399600186476312,0.28322261202756555
5060,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5060,500,0.0,0.0,0.0,0.0,0.0,0.1894775604263815,0.28322261202756555
5060,1000,0.0,0.0,0.0,0.0,0.0,0.21008941772872297,0.28322261202756555
5061,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5061,500,0.0,0.0,0.0,0.16666666666666666,0.0,0.5512255326372972,0.28322261202756555
5061,1000,0.0,0.0,0.0,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5062,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.1898619535541599,0.28322261202756555
5062,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.314442152502343,0.28322261202756555
5062,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.1911118386151015,0.28322261202756555
5063,200,0.0,0.0,0.0,0.0,0.0,0.19399600186476312,0.28322261202756555
5063,500,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5063,1000,0.3333333333333333,0.0,0.3333333333333333,0.125,0.0,0.327723877430818,0.28322261202756555
5064,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.19399600186476312,0.28322261202756555
5064,500,0.0,0.0,0.0,0.0,0.0,0.2334270085679097,0.28322261202756555
5064,1000,0.0,0.0,0.0,0.0,0.0,0.19726455824220318,0.28322261202756555
5065,200,0.0,0.0,0.0,0.0,0.0,0.2852989692907353,0.28322261202756555
5065,500,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5065,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.20746496986259738,0.28322261202756555
5066,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5066,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5066,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.19600928666962586,0.28322261202756555
5067,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5067,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5067,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.19236172367604312,0.28322261202756555
5068,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18534351211577826,0.28322261202756555
5068,500,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5068,1000,0.0,0.0,0.0,0.0,0.0,0.18659339717671988,0.28322261202756555
5069,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5069,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.27993583714512904,0.28322261202756555
5069,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.20130686372386006,0.28322261202756555
5070,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5070,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.2272564208072103,0.28322261202756555
5070,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5071,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5071,500,0.0,0.0,0.0,0.0,0.0,0.20419641348515735,0.28322261202756555
5071,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5072,200,0.0,0.0,0.0,0.08333333333333333,0.0,0.18082507067739662,0.28322261202756555
5072,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5072,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5073,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.19399600186476312,0.28322261202756555
5073,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.1911118386151015,0.28322261202756555
5073,1000,0.0,0.0,0.0,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5074,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5074,500,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5074,1000,0.8,0.0,0.8,0.08333333333333333,0.0,0.18998663129840226,0.28322261202756555
5075,200,0.0,0.0,0.0,0.0,0.0,0.20092785710771732,0.28322261202756555
5075,500,0.0,0.0,0.0,0.08333333333333333,0.0,0.19236172367604312,0.28322261202756555
5075,1000,0.0,0.0,0.0,0.0,0.0,0.20419641348515735,0.28322261202756555
5076,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5076,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5076,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5077,200,0.0,0.0,0.0,0.0,0.0,0.19563028005348315,0.28322261202756555
5077,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.4103019249854416,0.28322261202756555
5077,1000,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5078,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.18370923392705824,0.28322261202756555
5078,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5078,1000,0.0,0.0,0.0,0.0,0.0,0.22344411060787692,0.28322261202756555
5079,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.19399600186476312,0.28322261202756555
5079,500,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5079,1000,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5080,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.22203574256885267,0.28322261202756555
5080,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.3838152762437056,0.28322261202756555
5080,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.19236172367604312,0.28322261202756555
