nx,tau,confounder,seed,auc_ibd,auc_comparator,delta_auc,positives,channels
30,0,absent,102,0.9552845528455285,0.7235772357723578,0.23170731707317072,3,44
30,0,absent,103,0.8495934959349594,0.6991869918699187,0.15040650406504064,3,44
30,0,absent,104,0.9634146341463414,0.959349593495935,0.004065040650406471,3,44
30,0,absent,105,0.9146341463414634,1.0,-0.08536585365853655,3,44
30,0,absent,106,0.22764227642276422,0.959349593495935,-0.7317073170731707,3,44
30,0,absent,107,0.959349593495935,0.967479674796748,-0.008130081300813052,3,44
30,0,absent,108,1.0,0.9512195121951219,0.04878048780487809,3,44
30,0,absent,109,1.0,0.6747967479674797,0.3252032520325203,3,44
30,0,absent,110,0.9634146341463414,0.7317073170731707,0.23170731707317072,3,44
30,0,absent,111,0.9796747967479674,0.9512195121951219,0.028455284552845517,3,44
30,0,absent,112,0.9146341463414634,0.8943089430894309,0.020325203252032575,3,44
30,0,absent,113,0.983739837398374,0.6829268292682927,0.30081300813008127,3,44
30,0,absent,114,0.975609756097561,0.7317073170731707,0.24390243902439024,3,44
30,0,absent,115,0.7845528455284553,0.9186991869918699,-0.13414634146341464,3,44
30,0,absent,116,0.8739837398373984,0.6910569105691057,0.18292682926829273,3,44
30,0,absent,117,1.0,0.8455284552845529,0.1544715447154471,3,44
30,0,absent,118,0.35365853658536583,0.7235772357723578,-0.36991869918699194,3,44
30,0,absent,119,0.926829268292683,0.6829268292682927,0.24390243902439024,3,44
30,0,absent,120,0.991869918699187,0.8861788617886179,0.10569105691056901,3,44
30,0,absent,121,0.943089430894309,0.8130081300813008,0.13008130081300817,3,44
30,0,absent,122,0.516260162601626,0.7154471544715447,-0.19918699186991873,3,44
30,0,absent,123,0.975609756097561,0.959349593495935,0.016260162601625994,3,44
30,0,absent,124,0.7967479674796748,0.7317073170731707,0.06504065040650409,3,44
30,0,absent,125,0.975609756097561,0.6991869918699187,0.2764227642276422,3,44
30,0,absent,126,0.983739837398374,0.9349593495934959,0.04878048780487809,3,44
30,0,absent,127,0.9552845528455285,0.6991869918699187,0.25609756097560976,3,44
30,0,absent,128,0.7154471544715447,0.7317073170731707,-0.016260162601625994,3,44
30,0,absent,129,0.8780487804878049,0.7235772357723578,0.1544715447154471,3,44
30,0,absent,130,1.0,0.7073170731707317,0.29268292682926833,3,44
30,0,absent,131,0.8983739837398373,0.7317073170731707,0.16666666666666663,3,44
30,0,absent,132,0.9390243902439024,0.6829268292682927,0.25609756097560965,3,44
30,0,absent,133,0.975609756097561,0.7723577235772358,0.2032520325203252,3,44
30,0,absent,134,0.8983739837398373,0.6829268292682927,0.2154471544715446,3,44
30,0,absent,135,0.9471544715447154,0.926829268292683,0.020325203252032464,3,44
30,0,absent,136,0.967479674796748,0.7642276422764228,0.2032520325203252,3,44
30,0,absent,137,0.9471544715447154,0.8943089430894309,0.05284552845528456,3,44
30,0,absent,138,0.9552845528455285,0.7235772357723578,0.23170731707317072,3,44
30,0,absent,139,0.975609756097561,0.8536585365853658,0.12195121951219512,3,44
30,0,present,100,0.9634146341463414,0.7317073170731707,0.23170731707317072,3,44
30,0,present,101,0.967479674796748,0.6097560975609756,0.3577235772357724,3,44
30,0,present,102,0.983739837398374,0.5772357723577236,0.4065040650406504,3,44
30,0,present,103,0.8780487804878049,0.6747967479674797,0.2032520325203252,3,44
30,0,present,104,1.0,0.5934959349593496,0.4065040650406504,3,44
30,0,present,105,0.9390243902439024,0.6991869918699187,0.23983739837398366,3,44
30,0,present,106,0.17479674796747968,0.6097560975609756,-0.4349593495934959,3,44
30,0,present,107,0.983739837398374,0.7235772357723578,0.26016260162601623,3,44
30,0,present,108,0.8983739837398373,0.6504065040650406,0.2479674796747967,3,44
30,0,present,109,1.0,0.6422764227642277,0.3577235772357723,3,44
30,0,present,110,0.975609756097561,0.5447154471544715,0.43089430894308944,3,44
30,0,present,111,0.991869918699187,0.6097560975609756,0.38211382113821135,3,44
30,0,present,112,0.9308943089430894,0.7398373983739838,0.19105691056910568,3,44
30,0,present,113,0.983739837398374,0.6504065040650406,0.33333333333333337,3,44
30,0,present,114,0.983739837398374,0.5447154471544715,0.4390243902439025,3,44
30,0,present,115,0.7317073170731707,0.7235772357723578,0.008130081300812941,3,44
30,0,present,116,0.9024390243902439,0.7073170731707317,0.19512195121951226,3,44
30,0,present,117,1.0,0.6504065040650406,0.34959349593495936,3,44
30,0,present,118,0.3821138211382114,0.6829268292682927,-0.3008130081300813,3,44
30,0,present,119,0.975609756097561,0.5609756097560976,0.41463414634146334,3,44
30,0,present,120,0.991869918699187,0.8536585365853658,0.1382113821138211,3,44
30,0,present,121,0.959349593495935,0.5934959349593496,0.36585365853658536,3,44
30,0,present,122,0.5528455284552846,0.7642276422764228,-0.21138211382113825,3,44
30,0,present,123,0.8536585365853658,0.7154471544715447,0.1382113821138211,3,44
30,0,present,124,0.8455284552845529,0.6422764227642277,0.2032520325203252,3,44
30,0,present,125,1.0,0.7967479674796748,0.2032520325203252,3,44
30,0,present,126,1.0,0.7235772357723578,0.2764227642276422,3,44
30,0,present,127,0.9634146341463414,0.5772357723577236,0.3861788617886178,3,44
30,0,present,128,0.7073170731707317,0.6016260162601627,0.10569105691056901,3,44
